code,rwy,cn,tora_m,toda_m,asda_m,lda_m,width_m,slope
YIVO,34,1,1245,1305,1245,1245,18,0.6% down to N
YJAB,09,2,1402,1482,1402,1402,23,"630M W end 0.8% down to W, 772M E end 1.0% down to E"
YJAB,27,2,1402,1482,1402,1402,23,"630M W end 0.8% down to W, 772M E end 1.0% down to E"
YJAC,14,3,1845,1905,1845,1800,30,West End 150M 0.82% down to E; East End 1.5% down to W
YJAC,32,3,1845,1905,1845,1800,30,West End 150M 0.82% down to E; East End 1.5% down to W
YJBY,08,MIL,1466,1526,1466,1466,30,"0.81% up to E to 439, then 0.29% up to 748, then 0.11% down to end"
YJBY,26,MIL,1466,1526,1466,1466,30,"0.81% up to E to 439, then 0.29% up to 748, then 0.11% down to end"
YJBY,15,MIL,1523,1583,1523,1523,30,
YJBY,33,MIL,1523,1583,1523,1523,30,
YJLC,10,3,1402,1462,1402,1402,30,Level
YJLC,28,3,1402,1462,1402,1402,30,Level
YJUN,08,3,2095,2155,2095,2095,30,0.09% down to E
YJUN,26,3,2095,2155,2095,2095,30,0.09% down to E
YKAR,12,3,1400,1460,1400,1400,30,0.16% down to NW
YKAR,30,3,1400,1460,1400,1400,30,0.16% down to NW
YKBA,14,3,2100,2160,2100,2100,30,0.1% down to SE
YKBA,32,3,2100,2160,2100,2100,30,0.1% down to SE
YKBL,16,3,1800,1860,1800,1800,30,0.28% down to SE
YKBL,34,3,1800,1860,1800,1800,30,0.28% down to SE
YKBR,18,3,1600,1660,1600,1600,30,0.27% Down to N
YKBR,36,3,1600,1660,1600,1600,30,0.27% Down to N
YKBY,05,1,780,840,780,780,18,0.15% down to SW
YKBY,23,1,780,840,780,780,18,0.15% down to SW
YKBY,13,2,1351,1411,1351,1351,18,0.9% down to SE and 0.3% down to NW
YKBY,31,2,1351,1411,1351,1351,18,0.9% down to SE and 0.3% down to NW
YKDD,12,4,2200,2260,2200,2200,45,0.24% down to the E
YKDD,30,4,2200,2260,2200,2200,45,0.24% down to the E
YKER,05,1,691,751,691,691,18,Level
YKER,23,1,691,751,691,691,18,Level
YKER,14,1,1067,1127,1067,1067,18,Level
YKER,32,1,1067,1127,1067,1067,18,Level
YKII,10,3,1585,1645,1585,1585,30,0.9% down to N
YKII,28,3,1585,1645,1585,1585,30,0.9% down to N
YKII,17,2,1105,1165,1105,1105,30,0.9% down to N
YKII,35,2,1105,1165,1105,1105,30,0.9% down to N
YKKG,03,2,1250,1310,1250,1250,18,0.8% down to NE
YKKG,21,2,1250,1310,1250,1250,18,0.8% down to NE
YKKG,13,1,956,986,956,956,18,1.1 down to SE
YKKG,31,1,956,986,956,956,18,1.1 down to SE
YKLC,11,3,2100,2160,2100,2100,30,
YKLC,29,3,2100,2160,2100,2100,30,
YKMB,03,3,1378,1438,1378,1378,30,0.05% down to SW
YKMB,21,3,1378,1438,1378,1378,30,0.05% down to SW
YKMP,04,2,1643,1703,1643,1643,30,"0.4% 340M down to SW, 0.5% 450M down to NE, LVL 850M to NE"
YKMP,22,2,1643,1703,1643,1643,30,"0.4% 340M down to SW, 0.5% 450M down to NE, LVL 850M to NE"
YKNG,07,1,1500,1560,1500,1500,23,0.16% down to E
YKNG,25,1,1500,1560,1500,1500,23,0.16% down to E
YKNG,13,1,1001,1061,1001,1001,18,0.22% down to SW
YKNG,31,1,1001,1061,1001,1001,18,0.22% down to SW
YKOW,12,2,1380,1440,1380,1380,30,Level
YKOW,30,2,1380,1440,1380,1380,30,Level
YKRY,05,2,1303,1363,1303,1303,30,1.3% down to SW
YKRY,23,2,1303,1363,1303,1303,30,1.3% down to SW
YKRY,16,3,1600,1660,1600,1600,30,0.9% down to N
YKRY,34,3,1600,1660,1600,1600,30,0.9% down to N
YKSC,01,3,1815,1875,1815,1815,30,Level
YKSC,19,3,1815,1875,1815,1815,30,Level
YKSC,06,2,1134,1194,1134,1134,30,0.1% down to NE
YKSC,24,2,1134,1194,1134,1134,30,0.1% down to NE
YKSC,15,2,1384,1459,1384,1384,30,Level
YKSC,33,2,1384,1444,1384,1384,30,Level
YKWA,01,3,2000,2060,2000,2000,30,0.25% down to S
YKWA,19,3,2000,2060,2000,2000,30,0.25% down to S
YLBD,10,1,1200,1260,1200,1200,18,0.58% down to W
YLBD,28,1,1200,1260,1200,1200,18,0.58% down to W
YLCG,05,2,1200,1260,1200,1200,30,"Initial 650M 1.1% down to NE, remainder 0.6% down to NE"
YLCG,23,2,1200,1260,1200,1200,30,"Initial 650M 1.1% down to NE, remainder 0.6% down to NE"
YLCG,12,2,879,939,879,879,23,"Initial 350M 0.8% down to NW, remainder 0.3% down to NW"
YLCG,30,2,879,939,879,879,23,"Initial 350M 0.8% down to NW, remainder 0.3% down to NW"
YLEC,02,2,1219,1279,1219,1219,18,"0.3% down centre to NE, 0.2% down centre to SW"
YLEC,20,2,1219,1279,1219,1219,18,"0.3% down centre to NE, 0.2% down centre to SW"
YLEC,11,2,1710,1770,1710,1710,30,0.2% down NW to centre; 0.1% down SE to centre
YLEC,29,2,1710,1770,1710,1710,30,0.2% down NW to centre; 0.1% down SE to centre
YLEO,04,3,2018,2078,2018,2018,30,0.3% down to SW
YLEO,22,3,2018,2078,2018,2018,30,0.3% down to SW
YLEO,12,2,1140,1200,1140,1140,30,0.2% down to NW
YLEO,30,2,1140,1200,1140,1140,30,0.2% down to NW
YLEV,08,1,1065,1125,1065,1065,18,0.5% down to W
YLEV,26,1,1065,1125,1065,1065,18,0.5% down to W
YLHI,10,2,888,948,888,888,30,Level
YLHI,28,2,888,948,888,785,30,Level
YLHR,12,3,1500,1560,1500,1500,30,0.6% down to NW
YLHR,30,3,1500,1560,1500,1500,30,0.6% down to NW
YLIS,15,3,1707,1767,1707,1647,30,0.1% down to SE
YLIS,33,3,1707,1767,1707,1647,30,0.1% down to SE
YLLE,03,3,1800,1860,1800,1800,30,Up 0.29% to SW to 460M then DOWN 0.23% to RWY end
YLLE,21,3,1800,1860,1800,1800,30,Up 0.29% to SW to 460M then DOWN 0.23% to RWY end
YLRD,04,2,733,793,733,733,30,0.7% down to SW
YLRD,22,2,733,793,733,733,30,0.7% down to SW
YLRD,10,1,1506,1566,1506,1506,18,0.4% down to W
YLRD,28,1,1506,1566,1506,1506,18,0.4% down to W
YLRE,04,3,1936,2036,1936,1936,30,Level
YLRE,22,3,1936,2056,1936,1936,30,Level
YLST,10,3,1800,1860,1800,1800,30,"0.1% down to W, E end 0.1% down to E"
YLST,28,3,1800,1860,1800,1800,30,"0.1% down to W, E end 0.1% down to E"
YLTN,07,3,1800,1860,1800,1800,30,0.3% down to SW
YLTN,25,3,1800,1860,1800,1800,30,0.3% down to SW
YLTN,16,2,919,979,919,919,30,0.2% down to N
YLTN,34,2,919,979,919,919,30,0.2% down to N
YLTV,03,2,1430,1490,1430,1430,23,0.4% down to SW
YLTV,21,2,1430,1490,1430,1430,23,0.4% down to SW
YLTV,09,1,919,978,919,919,18,"FM E 0.3% down to TWY, from TWY 1.0% down to W end"
YLTV,27,1,919,978,919,919,18,"FM E 0.3% down to TWY, from TWY 1.0% down to W end"
YMAV,18,4,3048,3353,3108,3048,45,0.03% down to N
YMAV,36,4,3048,3291,3108,3048,45,0.03% down to N
YMAY,07,3,1900,1990,1900,1900,30,0.2% down to E
YMAY,25,3,1900,1990,1900,1900,30,0.2% down to E
YMBA,10,3,1839,1899,1839,1672,30,0.55% down to W
YMBA,28,3,1672,1732,1672,1505,30,0.55% down to W
YMBL,09,3,2050,2110,2050,1900,30,0.223% down to W
YMBL,27,3,1900,1960,1900,1900,30,0.223% down to W
YMCO,07,2,881,941,881,881,30,0.7% down to E
YMCO,25,2,881,941,881,881,30,0.7% down to E
YMCO,18,1,1028,1088,1028,1028,18,0.2% down to S
YMCO,36,1,1028,1088,1028,1028,18,0.2% down to S
YMDG,04,3,1739,1799,1739,1739,30,0.6% down to SW
YMDG,22,3,1739,1799,1739,1739,30,0.6% down to SW
YMDG,16,2,1075,1135,1075,1075,30,0.4% down to S
YMDG,34,2,1075,1135,1075,1075,30,0.4% down to S
YMEK,09,3,2181,2241,2181,2181,30,0.12% down to E
YMEK,27,3,2181,2241,2181,2181,30,0.12% down to E
YMEK,15,2,1065,1125,1065,1065,30,0.1% down to NW
YMEK,33,2,1065,1125,1065,1065,30,0.1% down to NW
YMEN,08,4,1921,1981,1921,1921,45,0.4% down to the W for 700M then 0.2% down to E for the remainder
YMEN,26,4,1921,1981,1921,1921,45,0.4% down to the W for 700M then 0.2% down to E for the remainder
YMEN,17,3,1503,1563,1503,1503,45,0.9% down to S
YMEN,35,3,1503,1563,1503,1503,45,0.9% down to S
YMER,03,3,1602,1662,1602,1602,30,Level
YMER,21,3,1602,1662,1602,1602,30,Level
YMES,04,MIL,2437,2497,2437,2437,45,"0.09% down to E to 1720M, then 0.21% down to end"
YMES,22,MIL,2437,2497,2437,2437,45,"0.09% down to E to 1720M, then 0.21% down to end"
YMES,09,MIL,2230,2290,2230,2230,45,"0.09% down to E to 1720M, then 0.21% down to end"
YMES,27,MIL,2230,2290,2230,2230,45,"0.09% down to E to 1720M, then 0.21% down to end"
YMGB,11,2,1410,1470,1410,1410,30,0.4% down to SE
YMGB,29,2,1410,1470,1410,1410,30,0.4% down to SE
YMGD,14,3,1530,1590,1530,1530,30,0.3% down to NW
YMGD,32,3,1530,1590,1530,1530,30,0.3% down to NW
YMHB,12,4,2727,2787,2727,2608,45,Level
YMHB,30,4,2727,2787,2727,2727,45,Level
YMHL,08,2,1600,1660,1600,1600,30,0.33% down to E
YMHL,26,2,1600,1660,1600,1600,30,0.33% down to E
YMHU,06,3,2500,2560,2500,2500,30,W end level
YMHU,24,3,2500,2560,2500,2500,30,W end level
YMIA,09,4,1830,1920,1830,1830,45,0.1% down to E
YMIA,27,4,1830,1890,1830,1830,45,0.1% down to E
YMIA,18,2,1139,1199,1139,1139,30,0.1% down to N
YMIA,36,2,1139,1199,1139,1139,30,0.1% down to N
YMJM,12,1,1224,1284,1224,1224,18,0.32% down to SE
YMJM,30,1,1224,1284,1224,1224,18,0.32% down to SE
YMLS,04,2,1590,1650,1590,1590,30,SW end 0.1% down to NE
YMLS,22,2,1590,1650,1590,1590,30,SW end 0.1% down to NE
YMLT,14R,4,1981,2041,1981,1981,45,0.3% ends down to centre
YMLT,32L,4,1981,2041,1981,1981,45,0.3% ends down to centre
YMMB,04,1,571,601,571,500,18,0.2% down to SW
YMMB,22,1,571,601,571,541,18,0.2% down to SW
YMMB,13L,2,1149,1209,1149,1040,30,0.4% down to SE
YMMB,31R,2,1149,1209,1149,1149,30,0.4% down to SE
YMMB,13R,1,1060,1120,1060,894,18,0.4% down to SE
YMMB,31L,1,1060,1120,1060,914,18,0.4% down to SE
YMMB,17L,2,1335,1395,1335,1050,30,0.4% down to S
YMMB,35R,2,1335,1395,1335,1160,30,0.4% down to S
YMMB,17R,1,1240,1300,1240,1046,18,0.4% down to S
YMMB,35L,1,1240,1300,1240,1086,18,0.4% down to S
YMMI,03,3,2000,2060,2000,2000,30,0.10% down to N
YMMI,21,3,2000,2060,2000,2000,30,0.10% down to N
YMML,09,4,2286,2436,2346,2286,45,"E end level, centre 0.4% down to W"
YMML,27,4,2286,2436,2346,2286,45,"E end level, centre 0.4% down to W"
YMML,16,4,3657,3777,3717,3657,60,0.9% down to S
YMML,34,4,3657,3837,3717,3657,60,0.9% down to S
YMND,05,2,1226,1286,1226,1128,15,0.5% down to NE
YMND,23,2,1226,1286,1226,1226,15,0.5% down to NE
YMND,08,1,1009,1039,1009,781,10,0.9% down to E
YMND,26,1,1009,1039,1009,800,10,0.9% down to E
YMND,18,1,502,532,502,502,18,0.35% down to S
YMND,36,1,502,532,502,502,18,0.35% down to S
YMNE,11,3,1797,1860,1797,1797,30,0.32% down to E
YMNE,29,3,1797,1860,1797,1797,30,0.32% down to E
YMNG,05,2,2027,2087,2027,2027,23,0.1% down to SW
YMNG,23,2,2027,2087,2027,2027,23,0.1% down to SW
YMNG,18,2,1461,1521,1461,1461,23,Level
YMNG,36,2,1461,1521,1461,1461,23,Level
YMOG,04,1,900,960,900,900,30,0.25% down to SW
YMOG,22,1,900,960,900,900,30,0.25% down to SW
YMOG,16,3,1800,1860,1800,1800,30,0.5% down to S
YMOG,34,3,1800,1860,1800,1800,30,0.5% down to S
YMOR,01,3,1613,1673,1613,1613,30,0.1% down to S
YMOR,19,3,1613,1703,1613,1613,30,0.1% down to S
YMOR,05,2,977,1037,977,977,23,0.2% down to SW
YMOR,23,2,977,1037,977,977,23,0.2% down to SW
YMPC,04,2,1135,1195,1135,1135,45,Level
YMPC,22,2,1135,1195,1135,1135,45,Level
YMPC,08,2,1066,1126,1066,1066,45,Level
YMPC,26,2,1066,1126,1066,1066,45,Level
YMPC,17,3,1371,1431,1371,1371,45,Level
YMPC,35,3,1371,1431,1371,1371,45,Level
YMRB,16,3,1524,1649,1524,1524,30,0.8% down to NW
YMRB,34,3,1524,1649,1524,1524,30,0.8% down to NW
YMRW,09,1,975,1005,975,975,18,0.1% down to E
YMRW,27,1,975,1005,975,975,18,0.1% down to E
YMRW,15,2,1350,1410,1350,1350,30,0.67% down to SSE
YMRW,33,2,1350,1410,1350,1350,30,0.67% down to SSE
YMRY,04,2,827,887,827,827,18,0.1% down to NE
YMRY,22,2,827,887,827,827,18,0.1% down to NE
YMRY,18,3,1523,1583,1523,1523,30,Level
YMRY,36,3,1523,1583,1523,1523,30,Level
YMTG,06,2,846,906,846,846,30,0.3% down to SW
YMTG,24,2,846,962,846,846,30,0.3% down to SW
YMTG,11,2,922,985,922,922,30,0.1% down to SE
YMTG,29,2,922,982,922,922,30,0.1% down to SE
YMTG,18,3,1644,1704,1644,1644,30,0.3% down to S
YMTG,36,3,1644,1704,1644,1644,30,0.3% down to S
YMTI,09,3,1515,1575,1515,1515,30,Level
YMTI,27,3,1515,1575,1515,1515,30,Level
YMYB,12,2,885,945,885,885,30,0.2% down to NW
YMYB,30,2,885,945,885,885,30,0.2% down to NW
YMYB,17,3,1587,1707,1587,1587,30,0.2% down to N
YMYB,35,3,1587,1707,1587,1587,30,0.2% down to N
YNAR,05,2,1020,1190,1130,900,30,0.1% down to NE
YNAR,23,2,1020,1080,1020,1020,30,0.1% down to NE
YNAR,14,3,1610,1826,1766,1610,30,0.1% down to NW
YNAR,32,3,1610,1670,1610,1610,30,0.1% down to NW
YNBR,09,1,800,860,800,800,30,1.3% down to W
YNBR,27,1,800,860,800,800,30,1.3% down to W
YNBR,18,3,1765,1825,1765,1765,30,
YNBR,36,3,1765,1825,1765,1765,30,
YNGU,11,2,1530,1590,1530,1530,18,0.3% down to E
YNGU,29,2,1530,1590,1530,1530,18,0.3% down to E
YNHL,09,2,1000,1060,1000,1000,18,0.8% down to W
YNHL,27,2,1000,1060,1000,1000,18,0.8% down to W
YNHL,18,1,1102,1162,1102,1102,30,0.5% down to S
YNHL,36,1,1102,1162,1102,1102,30,0.5% down to S
YNOV,06,3,2000,2060,2000,2000,30,0.46% down to NE
YNOV,24,3,2000,2060,2000,2000,30,0.46% down to NE
YNPE,13,3,1834,1894,1834,1834,30,0.3% down to SE
YNPE,31,3,1834,1894,1834,1834,30,0.3% down to SE
YNRC,02,2,1337,1397,1337,1337,23,0.1% down to S
YNRC,20,2,1337,1397,1337,1337,23,0.1% down to S
YNRC,08,2,1048,1108,1048,1048,18,0.1% down to W
YNRC,26,2,1048,1108,1048,1048,18,0.1% down to W
YNRM,04,2,1100,1160,1100,1013,30,Level
YNRM,22,2,1100,1160,1100,1100,30,Level
YNRM,11,3,1521,1581,1521,1521,30,0.1% down to W
YNRM,29,3,1521,1581,1521,1263,30,0.1% down to W
YNRV,06,3,1680,1830,1680,1680,30,800M NE end 0.6% down to SW - end level
YNRV,24,3,1680,1740,1680,1680,30,800M NE end 0.6% down to SW - end level
YNRV,14,2,1200,1260,1200,1200,30,600 NW end 0.1% down to SE end 0.5%
YNRV,32,2,1200,1260,1200,1200,30,600 NW end 0.1% down to SE end 0.5%
YNTN,14,3,1676,1736,1676,1676,30,0.8% down to NW
YNTN,32,3,1676,1736,1676,1676,30,0.8% down to NW
YNUM,15,2,1320,1380,1320,1320,18,0.2% down to NW
YNUM,33,2,1320,1380,1320,1320,18,0.2% down to NW
YNWN,05,3,2072,2132,2072,2072,30,0.1% down to NE
YNWN,23,3,2072,2132,2072,2072,30,0.1% down to NE
YNYN,05,3,1643,1703,1643,1643,30,Level
YNYN,23,3,1643,1703,1643,1643,30,Level
YNYN,18,2,1065,1125,1065,1065,30,Level
YNYN,36,2,1065,1125,1065,1065,30,Level
YOEN,12,2,1320,1380,1320,1320,18,"0.2% down to NW, 0.2% down to SE"
YOEN,30,2,1320,1380,1320,1320,18,"0.2% down to NW, 0.2% down to SE"
YOLD,07,3,1860,1920,1860,1860,30,"E end 400M 0.6% down to W, W end 0.5% down to E"
YOLD,25,3,1860,1920,1860,1860,30,"E end 400M 0.6% down to W, W end 0.5% down to E"
YOLW,03,3,1900,1960,1900,1900,30,0%
YOLW,21,3,1900,1960,1900,1900,30,0%
YOOM,12,3,1718,1778,1718,1718,30,0.34% down to SE
YOOM,30,3,1718,1778,1718,1718,30,0.34% down to SE
YORB,07,2,1140,1200,1140,1140,18,0.4% down to E
YORB,25,2,1140,1200,1140,1140,18,0.4% down to E
YORG,04,1,964,1024,964,964,30,0.9% down to NE
YORG,22,1,964,1024,964,964,30,0.9% down to NE
YORG,11,3,2213,2335,2213,2213,30,0.2% down to W
YORG,29,3,2213,2273,2213,2213,30,0.2% down to W
YOSB,12,2,2000,2060,2000,2000,23,0.58% down to SE
YOSB,30,2,2000,2060,2000,2000,23,0.58% down to SE
YPAD,05,4,3100,3204,3160,2950,45,0.1% down to SW
YPAD,23,4,3100,3204,3160,3100,45,0.1% down to SW
YPAD,12,4,1652,1832,1652,1652,45,Level
YPAD,30,4,1652,1832,1652,1652,45,Level
YPAG,15,3,1650,1710,1650,1650,30,"NW end 510M 0.88% down to SE, SE end 1140M level"
YPAG,33,3,1650,1710,1650,1650,30,"NW end 510M 0.88% down to SE, SE end 1140M level"
YPAM,14,2,1135,1195,1135,1135,18,"0.4% down to NW, and 0.8% down to SE from RWY centre"
YPAM,32,2,1135,1195,1135,1135,18,"0.4% down to NW, and 0.8% down to SE from RWY centre"
YPBH,08,1,1142,1202,1142,1142,30,1.9% down to W
YPBH,26,1,1142,1202,1142,1142,30,1.9% down to W
YPBO,06,4,2132,2192,2132,2132,45,0.45% down to SW
YPBO,24,4,2132,2192,2132,2132,45,0.45% down to SW
YPCC,15,4,2441,2501,2441,2441,45,Level
YPCC,33,4,2441,2502,2441,2441,45,Level
YPCE,06,1,1053,1113,1053,1053,18,0.2% down to NE
YPCE,24,1,1053,1113,1053,1053,18,0.2% down to NE
YPDN,11,4,3354,3444,3354,3354,45,0.2% down to SE
YPDN,29,4,3354,3444,3354,3354,45,0.2% down to SE
YPDN,18,2,1524,1584,1524,1524,30,0.3% down to S
YPDN,36,2,1524,1584,1524,1524,30,0.3% down to S
YPEA,05,MIL,1691,1751,1691,1691,45,
YPEA,23,MIL,1691,1751,1691,1691,45,
YPEA,18L,MIL,2974,3034,2974,2974,45,
YPEA,36R,MIL,2974,3034,2974,2974,45,
YPEA,18R,MIL,1741,1801,1801,1741,30,0.35% down to S
YPEA,36L,MIL,1741,1801,1801,1741,30,0.35% down to S
YPED,18,MIL,2850,2910,2850,2560,45,
YPED,36,MIL,2966,3026,2966,2850,45,
YPGV,13,4,2208,2268,2208,2208,45,"FM NW end 0.4% down to TWY E, FM TWY E level to SE end"
YPGV,31,4,2208,2268,2208,2208,45,"FM NW end 0.4% down to TWY E, FM TWY E level to SE end"
YPIR,03,1,672,732,672,672,30,Level
YPIR,21,1,672,732,672,672,30,Level
YPIR,08,2,1043,1103,1043,1043,30,Level
YPIR,26,2,1043,1127,1043,1043,30,Level
YPIR,17,2,1069,1129,1069,1069,30,Level
YPIR,35,2,1069,1202,1142,1069,30,Level
YPJT,06L,2,1392,1452,1392,1274,30,Level
YPJT,24R,2,1392,1452,1392,1246,30,Level
YPJT,06R,1,1150,1210,1150,1150,18,Level
YPJT,24L,1,1150,1324,1150,1150,18,Level
YPJT,12,2,1508,1568,1508,1508,30,Level
YPJT,30,2,1508,1568,1508,1508,30,Level
YPKA,08,4,2280,2340,2280,2280,45,0.16% down to E
YPKA,26,4,2280,2340,2280,2280,45,0.16% down to E
YPKG,11,4,2000,2060,2000,2000,45,0.8% down to E
YPKG,29,4,2000,2060,2000,2000,45,0.8% down to E
YPKG,18,1,1200,1260,1200,1200,18,0.5% down to N
YPKG,36,1,1200,1260,1200,1200,18,0.5% down to N
YPKS,04,3,1684,1744,1684,1684,30,0.7% down to SW
YPKS,22,3,1684,1744,1684,1684,30,0.7% down to SW
YPKS,11,2,1623,1683,1623,1623,30,0.7% down to W
YPKS,29,2,1623,1683,1623,1450,30,0.7% down to W
YPKT,16,2,1410,1470,1410,1410,23,0.6% down to NW
YPKT,34,2,1410,1470,1410,1410,23,0.6% down to NW
YPKU,12,3,1829,1889,1829,1829,30,0.1% down to NW
YPKU,30,3,1829,1889,1829,1829,30,0.1% down to NW
YPLC,01,3,1499,1559,1499,1499,30,0.2% down to S
YPLC,19,3,1499,1600,1499,1499,30,0.2% down to S
YPLC,05,2,1275,1335,1275,1275,30,0.2% down to NE
YPLC,23,2,1275,1335,1275,1275,30,0.2% down to NE
YPLC,15,2,1450,1510,1450,1450,30,0.6% down to SE
YPLC,33,2,1450,1510,1450,1450,30,0.6% down to SE
YPLM,18,4,3047,3352,3047,3047,45,
YPLM,36,4,3047,3352,3047,3047,45,
YPLU,07,3,2069,2129,2069,2069,30,0.49% down to W
YPLU,25,3,2069,2129,2069,2069,30,0.49% down to W
YPMH,18,3,2200,2400,2200,2200,30,"500M S end 0.6% down to S, 1,700M N end 0.2% down to N"
YPMH,36,3,2200,2400,2200,2200,30,"500M S end 0.6% down to S, 1,700M N end 0.2% down to N"
YPMP,14,2,1360,1600,1360,1360,30,Level
YPMP,32,2,1360,1420,1360,1360,30,Level
YPMQ,03,4,1800,1860,1800,1800,45,0.1% down to SW
YPMQ,21,4,1800,1860,1800,1800,45,0.1% down to SW
YPOD,08,3,1616,1676,1616,1616,30,0.1% down to W
YPOD,26,3,1616,1676,1616,1616,30,0.1% down to W
YPOD,17,2,1180,1240,1180,1180,30,0.4% down to S
YPOD,35,2,1180,1240,1180,1180,30,0.4% down to S
YPPD,14,4,2500,2560,2500,2500,45,0.1% down to NW
YPPD,32,4,2500,2560,2500,2500,45,0.1% down to NW
YPPD,18,1,1000,1060,1000,1000,18,Level
YPPD,36,1,1000,1060,1000,1000,18,Level
YPPF,03L,2,1350,1410,1350,1350,18,0.4% down to SW
YPPF,21R,2,1350,1410,1350,1350,18,0.4% down to SW
YPPF,03R,2,1279,1339,1279,1279,18,0.5% down to SW
YPPF,21L,2,1279,1339,1279,1279,18,0.5% down to SW
YPPF,08L,2,958,1018,958,958,18,0.5% down to SW
YPPF,26R,2,958,1018,958,958,18,0.5% down to SW
YPPF,08R,2,992,1052,992,992,18,0.1% down to W
YPPF,26L,2,992,1052,992,992,18,0.1% down to W
YPPH,03,4,3444,3504,3444,3444,45,0.2% down to N
YPPH,21,4,3444,3644,3444,3444,45,0.2% down to N
YPPH,06,4,2163,2224,2163,2163,45,from THR 0.1% down to centre
YPPH,24,4,2163,2224,2163,2163,45,from THR 0.1% down to centre
YPTN,14,MIL,3352,3497,3352,3352,45,
YPTN,32,MIL,3352,3412,3352,3352,45,
YPWR,18,3,2372,2672,2372,2372,45,0.14% down to N
YPWR,36,3,2372,2672,2372,2372,45,0.14% down to N
YPXM,18,4,2103,2164,2103,2103,45,
YPXM,36,4,2103,2164,2103,2103,45,
YQDI,06,2,1106,1166,1106,1106,18,0.2% down to SW
YQDI,24,2,1106,1166,1106,1106,18,0.2% down to SW
YQDI,14,3,1770,1830,1770,1770,30,"0.2% down to NW for 1,100M, then 0.3% down to SE for 670M"
YQDI,32,3,1770,1830,1770,1770,30,"0.2% down to NW for 1,100M, then 0.3% down to SE for 670M"
YQLP,09,2,1493,1553,1493,1493,30,0.2% down to E
YQLP,27,2,1493,1553,1493,1493,30,0.2% down to E
YQLP,18,2,1070,1130,1070,1070,30,0.3% down to N
YQLP,36,2,1070,1130,1070,1070,30,0.3% down to N
YREN,07,2,1740,1800,1740,1740,30,"0.4% down to centre from SW end, 0.37% down to centre from NE end"
YREN,25,2,1740,1800,1740,1740,30,"0.4% down to centre from SW end, 0.37% down to centre from NE end"
YREN,18,2,1024,1084,1024,1024,30,0.3% down to S
YREN,36,2,1024,1084,1024,1024,30,0.3% down to S
YRMD,09,3,1522,1582,1522,1522,30,0.3% down to W
YRMD,27,3,1522,1582,1522,1522,30,0.3% down to W
YRNG,09,2,1380,1440,1380,1380,18,0.5% down to W
YRNG,27,2,1380,1440,1380,1380,18,0.5% down to W
YROI,01,2,1140,1200,1140,1140,18,0.8% down to N
YROI,19,2,1140,1200,1140,1140,18,0.8% down to N
YROI,12,2,1175,1235,1175,1175,30,1.06% down to NW
YROI,30,2,1175,1235,1175,1175,30,1.06% down to NW
YROM,09,1,801,861,801,801,18,1.0% down to E
YROM,27,1,801,831,801,801,18,1.0% down to E
YROM,18,3,1504,1704,1504,1504,30,Level
YROM,36,3,1504,1564,1504,1504,30,Level
YRTI,09,1,1293,1353,1293,1293,18,0.09% down to E
YRTI,27,1,1293,1353,1293,1121,18,0.09% down to E
YSBK,11C,3,1416,1476,1416,1259,30,W end 0.5% down to E
YSBK,29C,3,1416,1476,1416,1356,30,W end 0.5% down to E
YSBK,11L,2,1100,1160,1100,1100,30,0.3% down to W
YSBK,29R,2,1100,1160,1100,1100,30,0.3% down to W
YSBK,11R,2,1038,1098,1038,1038,23,0.1% down to W
YSBK,29L,2,1038,1098,1038,1038,23,0.1% down to W
YSCB,12,2,1679,1739,1679,1316,30,0.7% down to NW
YSCB,30,2,1679,1739,1679,1614,30,0.7% down to NW
YSCB,17,4,2983,3073,2983,2983,45,0.1% down to S
YSCB,35,4,3283,3343,3283,2683,45,0.1% down to S
YSCD,06,3,2000,2060,2000,2000,30,
YSCD,24,3,2000,2060,2000,2000,30,
YSCN,06,2,1464,1524,1464,1464,30,0.2% down to SW
YSCN,24,2,1464,1524,1464,1157,30,0.2% down to SW
YSCN,10,1,723,753,723,723,30,0.2% down to NW
YSCN,28,1,723,753,723,723,30,0.2% down to NW
YSCO,11,2,1400,1460,1400,1400,30,0.8% down to E
YSCO,29,2,1400,1460,1400,1400,30,0.8% down to E
YSCR,09,2,1319,1379,1319,1319,30,0.5% down to W
YSCR,27,2,1319,1379,1319,1319,30,0.5% down to W
YSCR,14,1,1405,1465,1405,1405,18,0.35% down to NW
YSCR,32,1,1405,1465,1405,1405,18,0.35% down to NW
YSDU,05,3,1708,1768,1708,1708,45,0.6% down to NE
YSDU,23,3,1708,1768,1708,1708,45,0.6% down to NE
YSDU,11,2,1067,1127,1067,1067,18,0.5% down to W
YSDU,29,2,1067,1127,1067,1067,18,0.5% down to W
YSGE,11,3,1520,1580,1520,1520,30,Level
YSGE,29,3,1520,1580,1520,1520,30,Level
YSHK,18,3,1690,1750,1690,1690,30,S end 0.2% down to N - N end 0.1% down to S
YSHK,36,3,1690,1750,1690,1690,30,S end 0.2% down to N - N end 0.1% down to S
YSHL,08,2,1331,1391,1331,1331,30,0.2% down to E
YSHL,26,2,1331,1391,1331,1241,30,0.2% down to E
YSHL,16,2,1819,1879,1819,1819,30,0.1% down to N
YSHL,34,2,1819,1879,1819,1643,30,0.1% down to N
YSHT,09,1,434,494,434,434,30,Level
YSHT,27,1,434,464,434,434,30,Level
YSHT,18,1,1298,1358,1298,1238,18,Level
